GOLDEN BEGIN
battle|affinity|name|Element affinity probes -- both damage layers at three alignment depths
action|Shadow Stalker|Archangel||
damage||Archangel|40|
death||Archangel||
victory||||
action|Imp|Archangel||
damage||Archangel|7|
action|Archangel|Archangel||
state_add||Archangel||regen
heal||Archangel|1|
mp_drain|Imp||1|
action|Golem|Archangel||
damage||Archangel|3|
action|Archangel|Golem||
damage||Golem|15|
death||Golem||
defeat||||
action|Shadow Stalker|Archangel||
damage||Archangel|90|
death||Archangel||
victory||||
action|Imp|Archangel||
damage||Archangel|25|
critical||Archangel||
death||Archangel||
victory||||
action|Golem|Archangel||
damage||Archangel|7|
action|Archangel|Archangel||
state_add||Archangel||regen
heal||Archangel|1|
mp_drain|Golem||1|
action|Imp|Ooze||
damage||Ooze|10|
action|Ooze|Imp||
damage||Imp|6|
mp_drain|Imp||1|
action|Imp|Wisp||
damage||Wisp|10|
action|Wisp|Wisp||
heal||Wisp|10|
mp_drain|Imp||1|
action|Shadow Stalker|Ooze||
damage||Ooze|29|
death||Ooze||
victory||||
GOLDEN END
